Time; AccX; AccY; AccZ; Temp; GyroX; GyroY; GyroZ;
2; -696; -472; 15128; 24.25; 3068; 147; -161
134; -592; -400; 15296; 24.25; 3035; 144; -161
237; -560; -508; 15244; 24.25; 3039; 179; -151
340; -676; -520; 15284; 24.25; 3052; 177; -174
444; -660; -456; 15380; 24.20; 3022; 163; -170
547; -476; -428; 15280; 24.15; 3050; 151; -146
651; -592; -408; 15132; 24.25; 3033; 186; -157
753; -628; -508; 15336; 24.25; 3019; 166; -158
857; -624; -532; 15188; 24.20; 3040; 187; -163
960; -532; -508; 15208; 24.29; 3040; 157; -152
1063; -516; -460; 15156; 24.29; 3042; 161; -166
1167; -624; -480; 15208; 24.25; 3016; 163; -163
1270; -516; -436; 15284; 24.25; 3041; 156; -168
1374; -708; -508; 15300; 24.25; 3063; 158; -152
1477; -568; -516; 15232; 24.25; 3029; 153; -156
1581; -752; -472; 15248; 24.25; 3025; 163; -166
1684; -592; -420; 15112; 24.34; 3034; 150; -155
1788; -620; -436; 15184; 24.15; 3052; 155; -165
1892; -668; -448; 15164; 24.20; 3069; 169; -162
1995; -628; -396; 15168; 24.20; 3033; 147; -148
2099; -652; -456; 15292; 24.29; 3048; 172; -157
2202; -544; -384; 15132; 24.20; 3022; 161; -158
2306; -508; -492; 15184; 24.29; 3042; 148; -169
2409; -488; -484; 15204; 24.20; 3044; 176; -141
2512; -636; -416; 15328; 24.25; 3045; 151; -165
2616; -624; -528; 15260; 24.15; 3048; 159; -152
2719; -740; -460; 15364; 24.15; 3056; 144; -147
2823; -652; -488; 15232; 24.25; 3033; 172; -162
2926; -660; -464; 15084; 24.25; 3047; 156; -152
3030; -668; -456; 15252; 24.25; 3047; 141; -159
3133; -588; -456; 15308; 24.25; 3055; 170; -177
3236; -524; -448; 15320; 24.25; 3030; 185; -151
3340; -656; -464; 15124; 24.34; 3040; 134; -164
3443; -608; -452; 15252; 24.15; 3024; 148; -182
3547; -604; -488; 15192; 24.25; 3024; 164; -172
3650; -696; -384; 15228; 24.34; 3063; 209; -174
3753; -620; -492; 15220; 24.25; 3072; 156; -136
3857; -608; -512; 15344; 24.25; 3104; 149; -135
3960; -596; -644; 15184; 24.15; 3098; 190; -236
4064; -664; -536; 15184; 24.25; 3065; 161; -181
4167; -692; -528; 15256; 24.25; 3053; 174; -149
4271; -528; -484; 15284; 24.15; 3030; 173; -142
4374; -568; -460; 15252; 24.25; 3044; 148; -171
4477; -676; -344; 15168; 24.15; 3032; 140; -170
4581; -568; -284; 15192; 24.25; 3055; 196; -147
4684; -624; -288; 15176; 24.15; 3051; 209; -149
4788; -600; -268; 15240; 24.25; 3060; 178; -134
4891; -596; -420; 15188; 24.15; 3076; 173; -144
4995; -688; -400; 15268; 24.25; 3028; 164; -147
5098; -584; -500; 15252; 24.25; 3089; 200; -140
5201; -648; -448; 15160; 24.25; 3073; 218; -149
5305; -764; -420; 15192; 24.25; 3293; 433; -139
5408; -772; -272; 15348; 24.34; 3475; 424; -397
5512; -832; -256; 15228; 24.15; 3662; 103; 13
5615; -728; 28; 15452; 24.20; 4518; 372; 221
5719; -800; 392; 15156; 24.20; 4130; 231; 54
5822; -736; 656; 15244; 24.25; 4074; 221; -126
5925; -812; 772; 15264; 24.25; 5076; 231; -274
6029; -728; 1400; 15268; 24.34; 5977; 192; -30
6132; -812; 2372; 15084; 24.25; 6795; 209; 135
6236; -744; 3108; 14788; 24.29; 5482; 261; 553
6339; -824; 3632; 14680; 24.11; 5987; 185; 152
6443; -708; 4368; 14680; 24.20; 6696; 225; 66
6546; -644; 5160; 14200; 24.20; 5868; 281; 431
6649; -652; 5648; 14032; 24.11; 6033; 358; 379
6753; -668; 6596; 13752; 24.29; 6767; 147; 203
6856; -684; 7204; 13280; 24.25; 4937; 689; 1068
6960; -688; 7576; 13192; 24.25; 4687; 301; 298
7063; -676; 7816; 13120; 24.15; 5759; 87; -102
7166; -596; 8784; 12560; 24.29; 8118; -363; -758
7270; -668; 9648; 12000; 24.29; 8409; -282; -331
7373; -500; 10636; 11056; 24.29; 7420; 97; 44
7477; -436; 11372; 10524; 24.20; 6440; -133; -256
7580; -320; 11760; 10040; 24.25; 6117; -317; -462
7684; -332; 12252; 9608; 24.25; 5174; 285; 220
7788; -284; 12592; 9092; 24.34; 5957; 354; 273
7891; -268; 12864; 8564; 24.15; 6186; 289; 139
7995; -324; 13412; 7924; 24.25; 6771; 354; 241
8098; -96; 14020; 7172; 24.34; 7045; 216; 187
8202; -168; 14368; 6308; 24.25; 6746; 287; 166
8305; -92; 14772; 5472; 24.25; 7292; 191; 172
8409; -100; 15244; 4704; 24.25; 7264; 222; 99
8512; 88; 15624; 3820; 24.25; 6462; 143; 101
8615; 124; 15716; 3084; 24.29; 6901; -346; 76
8719; 132; 15972; 2376; 24.29; 5662; -539; -108
8822; 112; 16004; 1740; 24.29; 6093; -931; -158
8926; 308; 16212; 1064; 24.15; 5637; -173; -47
9029; 444; 16244; 560; 24.25; 5605; -377; -223
9133; 336; 16188; 92; 24.25; 5238; 155; 14
9236; 376; 16328; -336; 24.29; 4102; 241; -47
9339; 304; 16224; -504; 24.34; 4916; 149; -23
9443; 460; 16412; -996; 24.15; 4279; 117; -188
9546; 276; 16288; -1180; 24.34; 4224; 28; -208
9650; 408; 16300; -1384; 24.34; 3447; 246; -54
9753; 548; 16460; -1456; 24.25; 2747; 316; 38
9857; 324; 16324; -1396; 24.25; 2782; 137; -144
9960; 440; 16416; -1484; 24.25; 3274; 160; -203
10063; 384; 16352; -1700; 24.39; 3124; 207; -282
10167; 388; 16384; -1400; 24.29; 3006; 154; -75
10270; 436; 16420; -1556; 24.25; 3116; 134; -134
10374; 348; 16384; -1500; 24.34; 3120; 173; -240
10477; 300; 16436; -1392; 24.29; 2986; 234; -330
10580; 412; 16384; -1504; 24.25; 3128; 190; -129
10684; 416; 16400; -1356; 24.25; 2997; 184; -183
